NAME,LTP,DC,DO,DH,DL,PDC,DATE_TIME,DATE_TODAY,HOUR,MIN
NESIND,"14,612.25","14,512.75","14,510.00","14,654.40","14,392.35","14,512.75",2019-10-18 10:50:40,2019-10-18,10,50
POWGRI,199.65,197.70,197.00,201.00,197.00,197.70,2019-10-18 10:50:40,2019-10-18,10,50
ULTCEM,"4,335.10","4,257.40","4,260.00","4,363.80","4,256.90","4,257.40",2019-10-18 10:50:40,2019-10-18,10,50
TECMAH,728.85,726.25,724.85,732.15,723.05,726.25,2019-10-18 10:50:40,2019-10-18,10,50
SUNPHA,399.35,401.40,401.60,402.30,397.80,401.40,2019-10-18 10:50:40,2019-10-18,10,50
ONGC,141.80,141.35,141.00,143.00,140.00,141.35,2019-10-18 10:50:40,2019-10-18,10,50
BAAUTO,"3,095.30","3,110.30","3,120.00","3,123.45","3,085.00","3,110.30",2019-10-18 10:50:40,2019-10-18,10,50
BHARAS,"6,140.00","6,053.45","6,078.50","6,144.15","6,066.00","6,053.45",2019-10-18 10:50:40,2019-10-18,10,50
INDOIL,146.70,146.45,147.65,147.65,145.95,146.45,2019-10-18 10:50:40,2019-10-18,10,50
COALIN,205.15,199.35,199.00,205.60,197.90,199.35,2019-10-18 10:50:40,2019-10-18,10,50
WIPRO,249.35,248.05,248.10,250.65,248.10,248.05,2019-10-18 10:50:40,2019-10-18,10,50
HERHON,"2,643.90","2,628.60","2,629.00","2,661.65","2,615.10","2,628.60",2019-10-18 10:50:40,2019-10-18,10,50
BRIIND,"3,247.20","3,245.20","3,244.00","3,257.00","3,224.50","3,245.20",2019-10-18 10:50:40,2019-10-18,10,50
UNIP,592.65,592.40,591.70,597.20,589.00,592.40,2019-10-18 10:50:40,2019-10-18,10,50
DRREDD,"2,717.60","2,726.65","2,722.50","2,744.25","2,711.00","2,726.65",2019-10-18 10:50:40,2019-10-18,10,50
ADAPOR,412.50,408.95,410.00,413.35,408.45,408.95,2019-10-18 10:50:40,2019-10-18,10,50
GRASIM,727.00,724.75,724.75,732.45,718.00,724.75,2019-10-18 10:50:40,2019-10-18,10,50
VEDLIM,150.65,148.15,148.30,152.15,148.00,148.15,2019-10-18 10:50:40,2019-10-18,10,50
HINDAL,188.65,188.85,189.00,191.25,186.85,188.85,2019-10-18 10:50:40,2019-10-18,10,50
TATSTE,355.30,355.65,355.65,359.60,351.80,355.65,2019-10-18 10:50:40,2019-10-18,10,50
EICMOT,"20,220.25","20,518.00","20,550.15","20,668.60","20,036.85","20,518.00",2019-10-18 10:50:40,2019-10-18,10,50
GAIL,128.90,128.70,128.90,130.30,127.85,128.70,2019-10-18 10:50:40,2019-10-18,10,50
JSWSTE,221.65,223.35,223.90,224.40,220.65,223.35,2019-10-18 10:50:40,2019-10-18,10,50
BHAINF,260.25,257.20,257.50,260.25,254.45,257.20,2019-10-18 10:50:40,2019-10-18,10,50
CIPLA,443.25,446.30,448.15,448.75,442.65,446.30,2019-10-18 10:50:40,2019-10-18,10,50
TATMOT,137.10,138.15,140.00,141.80,135.55,138.15,2019-10-18 10:50:40,2019-10-18,10,50
ZEEENT,251.40,264.70,247.95,262.80,247.95,264.70,2019-10-18 10:50:40,2019-10-18,10,50
YESBAN,50.75,47.40,46.80,51.80,46.00,47.40,2019-10-18 10:50:40,2019-10-18,10,50
BSESEN,"39,234.13","39,052.06","39,087.83","39,261.20","38,963.60","39,052.06",2019-10-18 11:22:13,2019-10-18,11,22
HDFBAN,"1,227.10","1,220.80","1,222.30","1,233.85","1,222.30","1,220.80",2019-10-18 11:22:13,2019-10-18,11,22
RELPET,131.50,130.85,129.00,132.40,127.90,130.85,2019-10-18 11:22:13,2019-10-18,11,22
HDFC,"2,080.00","2,088.20","2,095.00","2,095.00","2,065.00","2,088.20",2019-10-18 11:22:13,2019-10-18,11,22
INFTEC,772.90,769.10,766.65,772.90,760.10,769.10,2019-10-18 11:22:13,2019-10-18,11,22
ICIBAN,438.30,440.55,438.40,441.10,435.35,440.55,2019-10-18 11:22:13,2019-10-18,11,22
ITC,247.00,245.85,246.50,247.75,245.00,245.85,2019-10-18 11:22:13,2019-10-18,11,22
TCS,"2,052.30","2,030.70","2,038.00","2,058.00","2,025.10","2,030.70",2019-10-18 11:22:13,2019-10-18,11,22
KOTMAH,"1,602.85","1,603.95","1,603.95","1,614.05","1,591.05","1,603.95",2019-10-18 11:22:13,2019-10-18,11,22
LARTOU,"1,452.55","1,424.25","1,428.00","1,455.45","1,425.80","1,424.25",2019-10-18 11:22:13,2019-10-18,11,22
HINLEV,"2,114.35","2,103.60","2,100.00","2,115.85","2,091.00","2,103.60",2019-10-18 11:22:13,2019-10-18,11,22
AXIBAN,707.85,710.55,710.90,714.75,705.70,710.55,2019-10-18 11:22:13,2019-10-18,11,22
STABAN,268.05,265.45,264.50,269.90,263.50,265.45,2019-10-18 11:22:13,2019-10-18,11,22
BAJFI,"4,150.75","4,105.20","4,120.00","4,200.00","4,082.80","4,105.20",2019-10-18 11:22:13,2019-10-18,11,22
MARUTI,"7,176.95","7,123.10","7,105.00","7,234.65","7,062.95","7,123.10",2019-10-18 11:22:13,2019-10-18,11,22
INDBA,"1,322.55","1,339.80","1,338.00","1,338.00","1,317.50","1,339.80",2019-10-18 11:22:13,2019-10-18,11,22
ASIPAI,"1,813.20","1,812.95","1,812.95","1,823.85","1,788.70","1,812.95",2019-10-18 11:22:13,2019-10-18,11,22
BHAAIR,382.00,385.75,385.00,385.00,380.50,385.75,2019-10-18 11:22:13,2019-10-18,11,22
HCLTEC,"1,102.45","1,092.90","1,103.00","1,103.50","1,088.25","1,092.90",2019-10-18 11:22:13,2019-10-18,11,22
TITIND,"1,282.55","1,276.85","1,287.70","1,287.70","1,274.40","1,276.85",2019-10-18 11:22:13,2019-10-18,11,22
MAHMAH,585.95,593.15,589.75,592.35,584.00,593.15,2019-10-18 11:22:13,2019-10-18,11,22
BAFINS,"8,341.00","8,295.65","8,362.00","8,440.00","8,282.45","8,295.65",2019-10-18 11:22:13,2019-10-18,11,22
NTPC,120.05,118.60,119.80,121.50,118.50,118.60,2019-10-18 11:22:13,2019-10-18,11,22
NESIND,"14,614.00","14,512.75","14,510.00","14,654.40","14,392.35","14,512.75",2019-10-18 11:22:13,2019-10-18,11,22
POWGRI,199.25,197.70,197.00,201.00,197.00,197.70,2019-10-18 11:22:13,2019-10-18,11,22
